event_id,start_time_s,start_timestamp,end_time_s,end_timestamp,duration_s,start_frame,end_frame,frames_count,max_score,avg_score,severity,anomaly_type
59,847.22,14:07.22,848.09,14:08.09,0.87,50831,50883,53,0.8243,0.7797,low,actividad_inusual
60,852.4,14:12.40,853.17,14:13.17,0.77,51142,51188,47,0.795,0.7548,low,actividad_inusual
61,902.42,15:02.42,904.46,15:04.46,2.03,54143,54265,123,0.7737,0.7072,low,actividad_inusual
62,906.69,15:06.69,907.24,15:07.24,0.55,54399,54432,34,0.7917,0.7085,low,actividad_inusual
63,908.07,15:08.07,912.39,15:12.39,4.32,54482,54741,260,0.8564,0.7893,low,actividad_inusual
64,915.37,15:15.37,923.56,15:23.56,8.18,54920,55411,492,0.7639,0.7019,low,actividad_inusual
65,926.84,15:26.84,927.64,15:27.64,0.8,55608,55656,49,0.7239,0.664,low,actividad_inusual
66,928.82,15:28.82,930.61,15:30.61,1.78,55727,55834,108,0.7234,0.6577,low,actividad_inusual
67,931.11,15:31.11,931.41,15:31.41,0.3,55864,55882,19,0.7077,0.6851,low,actividad_inusual
68,939.61,15:39.61,939.99,15:39.99,0.38,56374,56397,24,0.7029,0.6683,low,actividad_inusual
69,957.76,15:57.76,958.09,15:58.09,0.33,57463,57483,21,0.6734,0.6659,low,actividad_inusual
70,959.06,15:59.06,959.27,15:59.27,0.22,57541,57554,14,0.6674,0.6623,low,actividad_inusual
71,962.26,16:02.26,962.89,16:02.89,0.63,57733,57771,39,0.7157,0.6846,low,actividad_inusual
72,966.59,16:06.59,967.16,16:07.16,0.57,57993,58027,35,0.6757,0.6673,low,actividad_inusual
73,1014.43,16:54.43,1015.99,16:55.99,1.57,60863,60957,95,0.7198,0.6466,low,actividad_inusual
74,1024.51,17:04.51,1024.89,17:04.89,0.38,61468,61491,24,0.6886,0.6679,low,actividad_inusual
75,1025.59,17:05.59,1025.79,17:05.79,0.2,61533,61545,13,0.6779,0.6703,low,actividad_inusual
76,1026.54,17:06.54,1026.93,17:06.93,0.38,61590,61613,24,0.6702,0.6441,low,actividad_inusual
77,1038.54,17:18.54,1038.83,17:18.83,0.28,62310,62327,18,0.6792,0.6694,low,actividad_inusual
